close,high,low,open,time,volume
2338.75,2339.0,2338.65,2338.65,1777859580,2663
2338.8,2341.65,2338.8,2341.65,1777859520,1751
2340.2,2342.5,2334.5,2334.5,1777859460,3511
2334.2,2334.2,2332.25,2332.25,1777859400,645
2332.5,2332.5,2329.85,2330.0,1777859340,503
2328.2,2328.2,2328.2,2328.2,1777859280,1300
2328.15,2328.15,2327.85,2327.9,1777859220,522
2328.1,2328.2,2326.5,2327.05,1777859160,2459
2327.2,2327.3,2324.95,2325.4,1777859100,1492
2327.2,2327.55,2327.2,2327.55,1777859040,591
2327.85,2328.2,2327.85,2328.2,1777858980,319
2324.4,2329.65,2324.4,2329.65,1777858920,6463
2331.05,2331.05,2330.2,2330.2,1777858860,54
2329.9,2330.1,2329.75,2330.1,1777858800,518
2329.6,2329.9,2329.6,2329.9,1777858740,57
2330.5,2330.5,2328.75,2328.9,1777858680,1667
2327.75,2328.8,2327.4,2328.3,1777858620,122
2330.95,2332.5,2330.95,2332.05,1777858560,368
2331.95,2333.75,2330.1,2332.6,1777858500,4965
2332.35,2334.3,2331.95,2334.15,1777858440,2103
2334.35,2338.6,2334.35,2338.6,1777858380,2130
2338.45,2338.45,2330.35,2332.4,1777858320,2066
2330.75,2332.75,2327.3,2329.05,1777858260,4310
2327.9,2328.35,2320.65,2320.65,1777858200,8379
2316.6,2316.6,2316.6,2316.6,1777858140,200
2317.1,2317.1,2316.5,2316.5,1777858080,1401
2317.75,2317.75,2317.75,2317.75,1777858020,150
2313.05,2313.05,2313.05,2313.05,1777857960,0
2313.05,2313.05,2312.4,2312.4,1777857900,300
2312.5,2312.5,2312.5,2312.5,1777857840,386
2313.45,2313.45,2313.35,2313.35,1777857780,1380
2312.5,2312.5,2312.5,2312.5,1777857720,0
2312.5,2312.5,2312.5,2312.5,1777857660,9
2314.8,2314.8,2314.8,2314.8,1777857600,0
2314.8,2315.05,2314.8,2315.05,1777857540,324
2316.6,2316.6,2316.6,2316.6,1777857480,3
2317.0,2317.0,2315.6,2315.7,1777857420,901
2315.45,2317.6,2315.45,2317.6,1777857360,849
2316.95,2317.05,2316.95,2317.05,1777857300,143
2316.6,2316.6,2316.6,2316.6,1777857240,9
2315.35,2315.35,2315.35,2315.35,1777857180,96
2313.45,2313.55,2313.45,2313.55,1777857120,2160
2314.95,2314.95,2314.95,2314.95,1777857060,0
2314.95,2314.95,2314.95,2314.95,1777857000,0
2314.95,2314.95,2314.95,2314.95,1777856940,0
2314.95,2314.95,2314.95,2314.95,1777856880,560
2313.65,2313.65,2313.65,2313.65,1777856820,9
2314.7,2314.7,2314.0,2314.0,1777856760,610
2313.8,2313.8,2312.05,2312.05,1777856700,2341
2312.65,2314.15,2312.65,2314.15,1777856640,568
2314.15,2314.15,2314.15,2314.15,1777856580,30
2315.6,2315.7,2314.8,2314.8,1777856520,605
2316.55,2317.05,2316.55,2317.05,1777856460,330
2319.1,2320.4,2318.95,2318.95,1777856400,1193
2317.85,2318.6,2317.7,2318.6,1777856340,758
2319.25,2319.25,2319.05,2319.2,1777856280,761
2317.1,2317.1,2316.6,2316.6,1777856220,301
2316.8,2317.5,2315.15,2315.15,1777856160,1136
2314.1,2314.1,2313.8,2313.8,1777856100,483
2313.5,2313.5,2313.5,2313.5,1777856040,728
2313.65,2313.65,2312.2,2312.2,1777855980,1149
2311.9,2312.15,2311.9,2312.15,1777855920,673
2312.15,2314.3,2312.15,2314.3,1777855860,630
2315.05,2315.05,2314.45,2314.45,1777855800,505
2315.1,2315.1,2315.1,2315.1,1777855740,58
2314.5,2314.5,2314.5,2314.5,1777855680,32
2313.0,2313.0,2313.0,2313.0,1777855620,0
2313.0,2313.0,2313.0,2313.0,1777855560,389
2312.5,2312.5,2312.5,2312.5,1777855500,351
2311.45,2311.45,2310.8,2310.8,1777855440,720
2310.15,2310.15,2310.15,2310.15,1777855380,0
2310.15,2310.15,2310.15,2310.15,1777855320,0
2310.15,2310.15,2310.15,2310.15,1777855260,10
2310.45,2310.45,2310.3,2310.3,1777855200,508
2309.8,2309.8,2309.8,2309.8,1777855140,10
2309.45,2309.65,2309.45,2309.65,1777855080,150
2309.3,2309.3,2309.3,2309.3,1777855020,76
2312.8,2312.8,2312.8,2312.8,1777854960,0
2312.8,2312.8,2312.55,2312.55,1777854900,6
2314.5,2314.5,2314.5,2314.5,1777854840,0
2314.5,2314.5,2314.5,2314.5,1777854780,0
2314.5,2314.5,2314.2,2314.2,1777854720,476
2313.05,2313.05,2311.55,2311.6,1777854660,370
2311.45,2311.5,2311.45,2311.5,1777854600,86
2312.7,2313.75,2312.5,2313.75,1777854540,854
2313.8,2313.95,2311.3,2312.0,1777854480,2299
2310.9,2310.9,2310.9,2310.9,1777854420,80
2308.8,2308.8,2308.8,2308.8,1777854360,204
2309.95,2309.95,2308.9,2308.9,1777854300,120
2310.4,2310.4,2309.75,2309.95,1777854240,932
2308.75,2308.75,2308.75,2308.75,1777854180,0
2308.75,2308.75,2308.0,2308.15,1777854120,2262
2309.0,2312.3,2306.5,2312.3,1777854060,6663
2312.3,2312.3,2311.45,2312.0,1777854000,2419
2313.55,2313.55,2313.55,2313.55,1777853940,200
2313.65,2313.65,2313.65,2313.65,1777853880,500
2312.35,2312.9,2311.8,2312.45,1777853820,7189
2316.85,2316.85,2316.85,2316.85,1777853760,0
2316.85,2316.85,2316.85,2316.85,1777853700,10
2316.95,2316.95,2315.5,2315.5,1777853640,497
2313.55,2315.35,2313.55,2315.35,1777853580,5243
2315.25,2315.25,2313.95,2314.4,1777853520,3281
2315.95,2317.35,2315.95,2317.35,1777853460,150
2317.45,2317.45,2316.05,2316.05,1777853400,726
2314.0,2315.1,2314.0,2315.1,1777853340,65
2318.05,2318.05,2317.9,2317.9,1777853280,690
2319.45,2319.45,2319.45,2319.45,1777853220,2
2316.8,2316.8,2316.8,2316.8,1777853160,0
2316.8,2316.8,2316.8,2316.8,1777853100,0
2316.8,2316.8,2316.45,2316.45,1777853040,240
2319.35,2319.35,2319.35,2319.35,1777852980,0
2319.35,2319.35,2319.35,2319.35,1777852920,300
2318.0,2318.0,2316.75,2316.75,1777852860,354
2316.25,2320.0,2315.9,2320.0,1777852800,1455
2321.35,2321.35,2321.35,2321.35,1777852740,184
2321.15,2321.15,2320.5,2320.5,1777852680,659
2321.6,2321.6,2321.6,2321.6,1777852620,0
2321.6,2321.6,2321.6,2321.6,1777852560,50
2323.7,2323.9,2323.7,2323.9,1777852500,615
2322.85,2322.85,2322.85,2322.85,1777852440,0
2322.85,2322.85,2322.85,2322.85,1777852380,0
2322.85,2322.85,2322.85,2322.85,1777852320,0
2322.85,2322.85,2322.85,2322.85,1777852260,0
2322.85,2322.85,2322.85,2322.85,1777852200,0
2322.85,2322.85,2322.6,2322.6,1777852140,582
2320.4,2320.4,2320.4,2320.4,1777852080,0
2320.4,2320.4,2320.4,2320.4,1777852020,0
2320.4,2320.4,2320.4,2320.4,1777851960,0
2320.4,2322.55,2320.4,2322.55,1777851900,53
2323.3,2323.7,2323.3,2323.7,1777851840,171
2325.85,2325.85,2325.85,2325.85,1777851780,0
2325.85,2325.85,2325.85,2325.85,1777851720,5
2326.6,2326.6,2326.6,2326.6,1777851660,0
